fish;site;Updist3;updist;netcen;updist2;nr_species;Temp;pH;Conductivity;Nitrogen;Phosphorus;Oxygen;PI;PI_ecto;PI_endo;confactor2;weight;length;length in cm;weight in g;confactor;Sex ;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
3;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.008424597;0.008424597;0;-0.794753309;30;29;2.9;0.3;10.34;F;0;1;0;0;0;0;0;0;0;0
4;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.101095166;0.101095166;0;-0.981021112;68;37;3.7;0.68;18.38;F;0;12;0;0;0;0;0;0;0;0
7;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;3.367031889;0.033698389;3.3333335;7.171165203;65;35;3.5;0.65;18.57;M;0;4;0;0;1;0;0;0;0;0
8;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.084245972;0.084245972;0;5.380291324;58;34;3.4;0.58;17.06;M;0;10;0;0;0;0;0;0;0;0
9;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.336728587;0.336728587;0;-4.835426611;89;41;4.1;0.89;21.71;F;1;4;0;0;0;0;0;0;0;0
10;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;3.336140482;3.336140482;0;-7.019952042;74;39;3.9;0.74;18.97;F;0;396;0;0;0;0;0;0;0;0
11;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0;0;0;8.712802683;72;36;3.6;0.72;20;F;0;0;0;0;0;0;0;0;0;0
12;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.44650365;0.44650365;0;-1.287197317;62;36;3.6;0.62;17.22;M;0;53;0;0;0;0;0;0;0;0
13;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.016849194;0.016849194;0;7.205246691;38;29;2.9;0.38;13.1;M;0;2;0;0;0;0;0;0;0;0
14;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.362257679;0.362257679;0;24.98004796;106;39;3.9;1.06;27.18;M;0;43;0;0;0;0;0;0;0;0
15;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.143218152;0.143218152;0;4.164573389;98;41;4.1;0.98;23.9;M;0;17;0;0;0;0;0;0;0;0
16;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0;0;0;-36.01995204;45;39;3.9;0.45;11.54;M;0;0;0;0;0;0;0;0;0;0
17;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;1.120471424;1.120471424;0;-5.287197317;58;36;3.6;0.58;16.11;F;0;133;0;0;0;0;0;0;0;0
18;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.572872608;0.572872608;0;-8.673594074;39;33;3.3;0.39;11.82;M;0;68;0;0;0;0;0;0;0;0
19;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.210614929;0.210614929;0;-9.896531061;65;38;3.8;0.65;17.11;F;0;25;0;0;0;0;0;0;0;0
20;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.042122986;0.042122986;0;-11.29155522;13;27;2.7;0.13;4.81;M;0;5;0;0;0;0;0;0;0;0
21;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;4.728971098;1.482218503;3.246752595;-1.2669762;16;24;2.4;0.16;6.67;M;2;104;0;1;0;0;0;0;2;0
1;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.193765735;0.193765735;0;-5.499929954;95;42;4.2;0.95;22.62;F;0;23;0;0;0;0;0;0;0;0
3;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.016849194;0.016849194;0;12.01897889;81;37;3.7;0.81;21.89;M;0;2;0;0;0;0;0;0;0;0
5;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.084245972;0.084245972;0;5.44892939;40;30;3;0.4;13.33;M;0;10;0;0;0;0;0;0;0;0
6;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;1.10311163;1.10311163;0;2.70844478;27;27;2.7;0.27;10;M;2;59;0;0;0;0;0;0;0;0
8;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.033698389;0.033698389;0;5.374500081;44;31;3.1;0.44;14.19;F;0;4;0;0;0;0;0;0;0;0
10;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.033698389;0.033698389;0;3.70844478;28;27;2.7;0.28;10.37;F;0;4;0;0;0;0;0;0;0;0
11;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0;0;0;13.71280268;77;36;3.6;0.77;21.39;F;0;0;0;0;0;0;0;0;0;0
12;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.202190332;0.202190332;0;-13.62549992;25;31;3.1;0.25;8.06;M;0;24;0;0;0;0;0;0;0;0
13;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;2.323657022;2.323657022;0;-16.89653106;58;38;3.8;0.58;15.26;M;6;60;0;0;0;0;0;0;0;0
14;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.353577782;0.353577782;0;-8.29155522;16;27;2.7;0.16;5.93;M;1;6;0;0;0;0;0;0;0;0
15;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.976487373;0.976487373;0;-0.2669762;17;24;2.4;0.17;7.08;M;3;8;0;0;0;0;0;0;0;0
16;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;2.929972718;2.929972718;0;3.291391489;19;23;2.3;0.19;8.26;F;7;96;0;0;0;0;0;0;0;0
17;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.025273792;0.025273792;0;29.13556424;210;53;5.3;2.1;39.62;F;0;3;0;0;0;0;0;0;0;0
18;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;0.05897218;0.05897218;0;40.54649243;229;54;5.4;2.29;42.41;M;0;7;0;0;0;0;0;0;0;0
19;7;6715;76509.32419;72386.11495;76625;1;15.9;8.2;802;2;0.17;8.4;1.31321596;1.31321596;0;20.13556424;201;53;5.3;2.01;37.92;F;4;12;0;0;0;0;0;0;0;0
2;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;0.025273792;0.025273792;0;29.66249107;117;40;4;1.17;29.25;F;0;3;0;0;0;0;0;0;0;0
3;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;1.622336953;0.193765735;1.428571218;11.98004796;93;39;3.9;0.93;23.85;F;0;23;0;1;0;0;0;0;0;0
4;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;1.515151086;0.606060397;0.909090689;43.16089761;179;47;4.7;1.79;38.09;F;2;0;0;0;0;0;0;0;1;0
5;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;0.454672948;0.454672948;0;21.01897889;90;37;3.7;0.9;24.32;F;1;18;0;0;0;0;0;0;0;0
6;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;0;0;0;29.45170246;158;46;4.6;1.58;34.35;M;0;0;0;0;0;0;0;0;0;0
7;9;23559;49932.68291;47724.46004;14010;4;20.5;8.1;906;2;0.31;7;0;0;0;31.78615784;175;48;4.8;1.75;36.46;M;0;0;0;0;0;0;0;0;0;0
