site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
6;16;0;0;1;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;45;39;11.54;M;0;0;0;0;SM;0;0;0;0;0;0;0;SM
6;17;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;58;36;16.11;F;1.12;0;133;0;SM;0;0;0;0;0;0;0;SM
6;18;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;39;33;11.82;M;0.57;0;68;0;SM;0;0;0;0;0;0;0;SM
6;19;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;65;38;17.11;F;0.21;0;25;0;AD;0;0;0;0;0;0;0;AD
6;20;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;13;27;4.81;M;0.04;0;5;0;ID;0;0;0;0;0;0;0;SM
6;21;4;0.234565843;0.088881407;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;16;24;6.67;M;4.73;2;104;0;ID;1;0;0;0;0;2;0;SM
7;1;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;95;42;22.62;F;0.19;0;23;0;SM;0;0;0;0;0;0;0;SM
7;3;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;81;37;21.89;M;0.02;0;2;0;SM;0;0;0;0;0;0;0;SM
7;5;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;40;30;13.33;M;0.08;0;10;0;SM;0;0;0;0;0;0;0;SM
7;6;2;0.144300035;0.063423811;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;27;27;10;M;1.1;2;59;0;SM;0;0;0;0;0;0;0;SM
7;8;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;44;31;14.19;F;0.03;0;4;0;SM;0;0;0;0;0;0;0;SM
7;10;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;28;27;10.37;F;0.03;0;4;0;SM;0;0;0;0;0;0;0;SM
7;11;2;0.585952618;0.396694215;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;77;36;21.39;F;0;0;0;0;PH;0;0;0;0;0;0;0;PH
7;12;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;25;31;8.06;M;0.2;0;24;0;ID;0;0;0;0;0;0;0;ID
7;13;2;0.304636097;0.165289256;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;58;38;15.26;M;2.32;6;60;0;ID;0;0;0;0;0;0;0;ID
7;14;2;0.410116318;0.244897959;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;16;27;5.93;M;0.35;1;6;0;ID;0;0;0;0;0;0;0;ID
7;15;2;0.585952618;0.396694215;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;17;24;7.08;M;0.98;3;8;0;ID;0;0;0;0;0;0;0;ID
7;16;2;0.248332897;0.12668489;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;19;23;8.26;F;2.93;7;96;0;ID;0;0;0;0;0;0;0;ID
7;17;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;210;53;39.62;F;0.03;0;3;0;ID;0;0;0;0;0;0;0;ID
7;18;1;0;0;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;229;54;42.41;M;0.06;0;7;0;ID;0;0;0;0;0;0;0;ID
7;19;2;0.562335145;0.375;;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;201;53;37.92;F;1.31;4;12;0;ID;0;0;0;0;0;0;0;ID
9;2;1;0;0;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;117;40;29.25;F;0.03;0;3;0;SM;0;0;0;0;0;0;0;SM
9;3;2;0.173205207;0.079861111;;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;93;39;23.85;F;1.62;0;23;0;SM;1;0;0;0;0;0;0;SM
